year,team,conference,rating,secondOrderWins,sos,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
1999,Florida State,ACC,24.6,,,39.9,,,,,,,,,15.3,,,,,,,,,,
1999,Nebraska,Big Ten,22.7,,,34.9,,,,,,,,,12.2,,,,,,,,,,
1999,Virginia Tech,ACC,20.6,,,37.5,,,,,,,,,17,,,,,,,,,,
1999,Tennessee,SEC,19,,,32.9,,,,,,,,,13.9,,,,,,,,,,
1999,Alabama,SEC,18.9,,,34.2,,,,,,,,,15.3,,,,,,,,,,
1999,Penn State,Big Ten,18.6,,,34.3,,,,,,,,,15.7,,,,,,,,,,
1999,Michigan,Big Ten,17.5,,,34.1,,,,,,,,,16.6,,,,,,,,,,
1999,Michigan State,Big Ten,16.1,,,34,,,,,,,,,17.9,,,,,,,,,,
1999,Wisconsin,Big Ten,16,,,30.8,,,,,,,,,14.9,,,,,,,,,,
1999,Miami,ACC,15.8,,,32.6,,,,,,,,,16.7,,,,,,,,,,
1999,Kansas State,Big 12,15,,,33.4,,,,,,,,,18.4,,,,,,,,,,
1999,Florida,SEC,14.9,,,33.4,,,,,,,,,18.5,,,,,,,,,,
1999,Marshall,Conference USA,14.5,,,29.4,,,,,,,,,14.9,,,,,,,,,,
1999,Southern Mississippi,Conference USA,13.3,,,28.2,,,,,,,,,14.9,,,,,,,,,,
1999,Oklahoma,Big 12,12,,,33.8,,,,,,,,,21.8,,,,,,,,,,
1999,Illinois,Big Ten,11.1,,,33.2,,,,,,,,,22.1,,,,,,,,,,
1999,Minnesota,Big Ten,10.8,,,28.2,,,,,,,,,17.4,,,,,,,,,,
1999,Texas,Big 12,10.4,,,31.8,,,,,,,,,21.4,,,,,,,,,,
1999,Clemson,ACC,10.2,,,29,,,,,,,,,18.9,,,,,,,,,,
1999,Ohio State,Big Ten,9.7,,,28.7,,,,,,,,,18.9,,,,,,,,,,
1999,Purdue,Big Ten,9.5,,,33.5,,,,,,,,,24,,,,,,,,,,
1999,Utah,Pac-12,9.4,,,29.3,,,,,,,,,19.9,,,,,,,,,,
