year,team,conference,rating,secondOrderWins,sos,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2000,Miami,ACC,27.3,,,41.9,,,,,,,,,14.6,,,,,,,,,,
2000,Florida State,ACC,25.2,,,37.5,,,,,,,,,12.3,,,,,,,,,,
2000,Oklahoma,Big 12,22.9,,,37.4,,,,,,,,,14.5,,,,,,,,,,
2000,Florida,SEC,20.7,,,38.9,,,,,,,,,18.2,,,,,,,,,,
2000,Virginia Tech,ACC,20.7,,,41.9,,,,,,,,,21.1,,,,,,,,,,
2000,Nebraska,Big Ten,17.8,,,40.3,,,,,,,,,22.6,,,,,,,,,,
2000,Oregon State,Pac-12,17.2,,,34.6,,,,,,,,,17.4,,,,,,,,,,
2000,Kansas State,Big 12,15.7,,,36.9,,,,,,,,,21.1,,,,,,,,,,
2000,Washington,Pac-12,14.9,,,34.9,,,,,,,,,20,,,,,,,,,,
2000,Michigan,Big Ten,12.5,,,32.7,,,,,,,,,20.1,,,,,,,,,,
2000,Texas A&M,SEC,12,,,30.4,,,,,,,,,18.4,,,,,,,,,,
2000,Ohio State,Big Ten,11.5,,,28.7,,,,,,,,,17.3,,,,,,,,,,
2000,Toledo,Mid-American,11,,,28.6,,,,,,,,,17.6,,,,,,,,,,
2000,South Carolina,SEC,10.6,,,24.5,,,,,,,,,13.9,,,,,,,,,,
2000,Notre Dame,FBS Independents,10.5,,,31.1,,,,,,,,,20.6,,,,,,,,,,
2000,Mississippi State,SEC,10.5,,,34.3,,,,,,,,,23.8,,,,,,,,,,
2000,Oregon,Pac-12,10.3,,,30.2,,,,,,,,,19.8,,,,,,,,,,
2000,Georgia,SEC,10.2,,,28.1,,,,,,,,,17.9,,,,,,,,,,
2000,Texas,Big 12,10.1,,,33.7,,,,,,,,,23.7,,,,,,,,,,
2000,Clemson,ACC,10,,,33.7,,,,,,,,,23.8,,,,,,,,,,
2000,TCU,Big 12,9.5,,,28.3,,,,,,,,,18.7,,,,,,,,,,
2000,Wisconsin,Big Ten,9.5,,,27.5,,,,,,,,,18,,,,,,,,,,
2000,Syracuse,ACC,8.9,,,27.4,,,,,,,,,18.5,,,,,,,,,,
2000,Northwestern,Big Ten,8.8,,,39.6,,,,,,,,,30.8,,,,,,,,,,
2000,Purdue,Big Ten,8.8,,,31.4,,,,,,,,,22.6,,,,,,,,,,
2000,Western Michigan,Mid-American,8.7,,,24.3,,,,,,,,,15.6,,,,,,,,,,
2000,Georgia Tech,ACC,8.7,,,30.3,,,,,,,,,21.6,,,,,,,,,,
2000,Auburn,SEC,8.2,,,26.4,,,,,,,,,18.2,,,,,,,,,,
2000,Southern Mississippi,Conference USA,7.6,,,25.3,,,,,,,,,17.7,,,,,,,,,,
2000,Tennessee,SEC,7.6,,,29.9,,,,,,,,,22.3,,,,,,,,,,
2000,West Virginia,Big 12,7.5,,,33.8,,,,,,,,,26.3,,,,,,,,,,
2000,East Carolina,American Athletic,7.3,,,29.7,,,,,,,,,22.5,,,,,,,,,,
2000,UCLA,Pac-12,7,,,33.6,,,,,,,,,26.6,,,,,,,,,,
2000,Arizona,Pac-12,7,,,25.7,,,,,,,,,18.7,,,,,,,,,,
2000,LSU,SEC,6.4,,,25.7,,,,,,,,,19.3,,,,,,,,,,
2000,Louisville,ACC,6.3,,,31.4,,,,,,,,,25.1,,,,,,,,,,
2000,Colorado,Pac-12,5.8,,,27.3,,,,,,,,,21.4,,,,,,,,,,
2000,Pittsburgh,ACC,5.4,,,25.3,,,,,,,,,19.8,,,,,,,,,,
2000,Boston College,ACC,5.3,,,30,,,,,,,,,24.7,,,,,,,,,,
2000,Stanford,Pac-12,5.2,,,27.8,,,,,,,,,22.6,,,,,,,,,,
2000,Iowa State,Big 12,4.5,,,30,,,,,,,,,25.5,,,,,,,,,,
2000,UTEP,Conference USA,4.3,,,32,,,,,,,,,27.7,,,,,,,,,,
2000,Alabama,SEC,4.2,,,23.6,,,,,,,,,19.3,,,,,,,,,,
2000,Boise State,Mountain West,4.2,,,36.4,,,,,,,,,32.2,,,,,,,,,,
2000,Texas Tech,Big 12,4.2,,,25.4,,,,,,,,,21.2,,,,,,,,,,
2000,Colorado State,Mountain West,3.8,,,26.4,,,,,,,,,22.6,,,,,,,,,,
2000,Michigan State,Big Ten,2.7,,,20.8,,,,,,,,,18.1,,,,,,,,,,
2000,Arizona State,Pac-12,2.6,,,26.9,,,,,,,,,24.4,,,,,,,,,,
2000,Northern Illinois,Mid-American,2.4,,,33.2,,,,,,,,,30.8,,,,,,,,,,
2000,Arkansas,SEC,2.1,,,25,,,,,,,,,23,,,,,,,,,,
2000,Washington State,Pac-12,2,,,29.9,,,,,,,,,27.9,,,,,,,,,,
2000,California,Pac-12,2,,,25.6,,,,,,,,,23.6,,,,,,,,,,
2000,Fresno State,Mountain West,1.9,,,24.6,,,,,,,,,22.7,,,,,,,,,,
2000,USC,Pac-12,1.7,,,27.8,,,,,,,,,26.1,,,,,,,,,,
2000,Ole Miss,SEC,1.4,,,29.1,,,,,,,,,27.7,,,,,,,,,,
2000,Marshall,Conference USA,1.3,,,25.4,,,,,,,,,24.1,,,,,,,,,,
2000,Virginia,ACC,0.4,,,22.6,,,,,,,,,22.2,,,,,,,,,,
2000,BYU,FBS Independents,0.3,,,24.7,,,,,,,,,24.4,,,,,,,,,,
2000,Penn State,Big Ten,0.3,,,23.3,,,,,,,,,23,,,,,,,,,,
2000,New Mexico,Mountain West,0.1,,,18.8,,,,,,,,,18.7,,,,,,,,,,
2000,Iowa,Big Ten,0,,,22.2,,,,,,,,,22.1,,,,,,,,,,
2000,North Carolina,ACC,-0.1,,,25.1,,,,,,,,,25.2,,,,,,,,,,
2000,Illinois,Big Ten,-0.1,,,26.3,,,,,,,,,26.4,,,,,,,,,,
2000,Air Force,Mountain West,-0.1,,,30.6,,,,,,,,,30.7,,,,,,,,,,
2000,Minnesota,Big Ten,-0.3,,,28.8,,,,,,,,,29.1,,,,,,,,,,
2000,Cincinnati,American Athletic,-0.3,,,23.7,,,,,,,,,24,,,,,,,,,,
2000,UAB,Conference USA,-0.3,,,19.5,,,,,,,,,19.8,,,,,,,,,,
2000,NC State,ACC,-0.4,,,29.7,,,,,,,,,30.2,,,,,,,,,,
2000,Kansas,Big 12,-0.7,,,28.6,,,,,,,,,29.3,,,,,,,,,,
2000,UNLV,Mountain West,-0.9,,,24.4,,,,,,,,,25.2,,,,,,,,,,
2000,UCF,American Athletic,-1.3,,,26.4,,,,,,,,,27.7,,,,,,,,,,
2000,Maryland,Big Ten,-1.4,,,23.4,,,,,,,,,24.8,,,,,,,,,,
2000,Ohio,Mid-American,-1.6,,,23.4,,,,,,,,,25,,,,,,,,,,
2000,San José State,Mountain West,-2.1,,,29.8,,,,,,,,,31.9,,,,,,,,,,
2000,Utah,Pac-12,-2.6,,,18.6,,,,,,,,,21.2,,,,,,,,,,
2000,Indiana,Big Ten,-2.7,,,33.6,,,,,,,,,36.2,,,,,,,,,,
2000,Temple,American Athletic,-2.7,,,21,,,,,,,,,23.7,,,,,,,,,,
2000,Oklahoma State,Big 12,-3.7,,,22.2,,,,,,,,,25.9,,,,,,,,,,
2000,Missouri,SEC,-4.8,,,24.3,,,,,,,,,29.1,,,,,,,,,,
2000,Kentucky,SEC,-5.1,,,26.4,,,,,,,,,31.6,,,,,,,,,,
2000,San Diego State,Mountain West,-5.5,,,17.3,,,,,,,,,22.8,,,,,,,,,,
2000,Ball State,Mid-American,-5.6,,,23.3,,,,,,,,,29,,,,,,,,,,
2000,Akron,Mid-American,-6.1,,,25.6,,,,,,,,,31.6,,,,,,,,,,
2000,Rice,Conference USA,-6.2,,,22.3,,,,,,,,,28.5,,,,,,,,,,
2000,Vanderbilt,SEC,-6.7,,,17.8,,,,,,,,,24.4,,,,,,,,,,
2000,Memphis,American Athletic,-7.2,,,13.2,,,,,,,,,20.5,,,,,,,,,,
2000,Rutgers,Big Ten,-7.4,,,25.2,,,,,,,,,32.6,,,,,,,,,,
2000,Tulane,American Athletic,-8.1,,,26.7,,,,,,,,,34.8,,,,,,,,,,
2000,New Mexico State,FBS Independents,-8.6,,,25.4,,,,,,,,,34,,,,,,,,,,
2000,Miami (OH),Mid-American,-9.7,,,20.5,,,,,,,,,30.2,,,,,,,,,,
2000,Arkansas State,Sun Belt,-9.9,,,25.1,,,,,,,,,35.1,,,,,,,,,,
2000,Tulsa,American Athletic,-9.9,,,16.8,,,,,,,,,26.6,,,,,,,,,,
2000,Hawai'i,Mountain West,-9.9,,,23.7,,,,,,,,,33.5,,,,,,,,,,
2000,Houston,American Athletic,-10.1,,,21.4,,,,,,,,,31.5,,,,,,,,,,
2000,Middle Tennessee,Conference USA,-10.8,,,24.4,,,,,,,,,35.2,,,,,,,,,,
2000,Louisiana Tech,Conference USA,-11,,,23.3,,,,,,,,,34.3,,,,,,,,,,
2000,Utah State,Mountain West,-11.1,,,25.3,,,,,,,,,36.4,,,,,,,,,,
2000,Bowling Green,Mid-American,-11.4,,,15.3,,,,,,,,,26.6,,,,,,,,,,
2000,Eastern Michigan,Mid-American,-12.8,,,19,,,,,,,,,31.8,,,,,,,,,,
2000,Baylor,Big 12,-13.1,,,17.8,,,,,,,,,30.9,,,,,,,,,,
2000,Duke,ACC,-13.3,,,20,,,,,,,,,33.3,,,,,,,,,,
2000,Army,FBS Independents,-13.7,,,20.3,,,,,,,,,33.9,,,,,,,,,,
2000,Navy,American Athletic,-13.8,,,19.1,,,,,,,,,33,,,,,,,,,,
2000,Central Michigan,Mid-American,-14.1,,,16.2,,,,,,,,,30.3,,,,,,,,,,
2000,Wake Forest,ACC,-14.7,,,18,,,,,,,,,32.7,,,,,,,,,,
2000,SMU,American Athletic,-15,,,14.7,,,,,,,,,29.6,,,,,,,,,,
2000,North Texas,Conference USA,-16.9,,,12.2,,,,,,,,,29.1,,,,,,,,,,
2000,Wyoming,Mountain West,-17.2,,,17,,,,,,,,,34.2,,,,,,,,,,
2000,Nevada,Mountain West,-17.3,,,19.4,,,,,,,,,36.6,,,,,,,,,,
2000,Kent State,Mid-American,-19.3,,,12.3,,,,,,,,,31.6,,,,,,,,,,
2000,Louisiana,Sun Belt,-22.1,,,14.3,,,,,,,,,36.3,,,,,,,,,,
2000,Connecticut,American Athletic,-22.7,,,15.9,,,,,,,,,38.6,,,,,,,,,,
2000,Buffalo,Mid-American,-23.3,,,17,,,,,,,,,40.3,,,,,,,,,,
2000,South Florida,American Athletic,-25.7,,,8.3,,,,,,,,,34.1,,,,,,,,,,
