year,team,conference,rating,secondOrderWins,sos,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2006,LSU,SEC,31.6,11.6,0.856,39.2,119.7,110.9,112.1,117,109.4,127.9,0.473,0.5,6.8,130.1,110.3,118.9,123.6,120.8,119.5,0.198,0.096,0.102,-0.7
2006,USC,Pac-12,30.3,11.7,0.833,37.8,112.8,98,98.8,109.9,107.3,103.7,0.454,0.3,9.3,115.6,105.5,116.3,110.3,117,102.6,0.193,0.135,0.057,1.8
2006,Louisville,ACC,27.3,11.5,0.874,41.3,124.6,113.2,113.7,124.4,118,121.9,0.503,-0.5,14.4,110.6,99.4,104.9,107.2,104.4,103.9,0.212,0.123,0.085,0.5
2006,Ohio State,Big Ten,27,11.1,0.855,37.2,119.2,102.5,113,113.1,110.2,115.3,0.513,0.7,12.1,115,111.7,112.8,116.7,111.4,118.9,0.202,0.141,0.061,1.9
2006,Florida,SEC,26.5,11.7,0.785,36,110.9,106.3,105,110.7,110.7,105.2,0.502,1.7,8.4,119.3,112.3,113.4,121.7,111.1,126.8,0.192,0.116,0.075,-1.1
2006,West Virginia,Big 12,25.4,10.7,0.878,41.2,119.5,127.5,131.8,118,118.3,132.8,0.676,-1.4,17.3,106.6,94.2,116.3,97.4,102.3,99.6,0.177,0.097,0.078,1.5
2006,Oklahoma,Big 12,23.5,10.3,0.857,34.3,102.8,104.8,101.6,109.2,105.6,94.5,0.584,0.5,12.5,122.1,98.2,115.5,110.7,112.6,106.2,0.212,0.117,0.095,1.7
2006,Michigan,Big Ten,22.6,10.7,0.839,32.3,105.5,100.9,102.4,108.4,99.9,108.8,0.582,1.3,9.9,123.4,101.2,119.1,116.3,111.5,114.4,0.209,0.134,0.073,0.2
2006,BYU,FBS Independents,21.9,11.4,0.919,37.5,126.5,106.2,106,121.8,116.3,121,0.417,0.4,16.6,107.4,104.8,107.3,107.9,105.6,108,0.167,0.115,0.051,1
2006,Texas,Big 12,21.9,8.2,0.845,37.4,113,101.3,110.2,108.6,110,102.9,0.5,0,16.4,111.3,92.8,118.6,98.1,101.7,106,0.228,0.134,0.09,1
2006,Virginia Tech,ACC,21,9.3,0.884,23.6,95.7,100.6,95.2,103.4,97.1,101.1,0.552,0.6,4.6,143.8,105.6,126.8,121.4,127,115.5,0.209,0.129,0.079,2
2006,Arkansas,SEC,20.6,9.6,0.784,34.4,103.9,117,115.7,107.1,106.5,116.7,0.622,-0.5,13.1,120.8,96.9,104.7,114.4,109.4,108,0.202,0.123,0.079,-0.7
2006,Auburn,SEC,19.4,7.4,0.811,32.4,110.4,99.4,105.7,108.6,103.1,108.7,0.576,2.2,15.1,104.5,104.5,102.1,107.3,106.8,102.5,0.197,0.116,0.08,2.1
2006,South Carolina,SEC,19.1,8.9,0.835,38,121.6,101.5,111.4,114,112.6,109.9,0.472,1.3,20.2,102.2,96.7,101.3,98.4,101.3,99.7,0.192,0.128,0.058,1.4
2006,Wisconsin,Big Ten,19.1,10.1,0.899,28.9,103.6,105.3,99.6,111.7,102.4,110.2,0.561,1.1,11.2,125,101.6,108.2,120.6,110.1,119.4,0.191,0.118,0.073,1.3
2006,Tennessee,SEC,18.9,7.7,0.794,35.9,108.2,110.2,97.2,112.2,104.9,114.5,0.435,0.2,18.3,100.7,111.6,103.3,105.5,102,109.8,0.191,0.113,0.078,1.3
2006,Boise State,Mountain West,18.7,11,0.917,35.9,117.8,100.4,116.9,109.1,111.5,103.4,0.579,0.4,18.6,111.7,105.7,115,109.3,107,115.5,0.172,0.104,0.068,1.3
2006,Texas Tech,Big 12,17.9,8.6,0.864,37.2,115.9,104,115.8,103.3,114.6,97.6,0.214,-0.4,19.9,101.5,111.8,103.9,105.7,104.1,110.9,0.154,0.1,0.051,0.5
2006,Georgia,SEC,17.8,8.4,0.838,28.7,100.9,98.5,97.7,101.3,95.5,109.5,0.528,1.7,11.3,105.3,118.8,106,113.3,108.4,114.5,0.203,0.125,0.077,0.4
2006,California,Pac-12,17.6,9.9,0.854,35.7,111.1,106,110.8,108.8,106.5,113.6,0.474,-0.8,19.9,102.5,97.1,107.7,95.8,102.2,97.9,0.168,0.108,0.059,1.9
2006,TCU,Big 12,17.3,10,0.922,29.2,107.8,102.6,106,107,105,106.5,0.569,-1.9,12.7,135.6,96.7,126.5,114.3,125.1,104.8,0.224,0.114,0.098,0.8
2006,Clemson,ACC,16.7,9.8,0.883,31.5,108.4,110,117,103.8,107.3,110.1,0.565,-1.8,13.7,108,114.2,108.9,110.7,107,119.4,0.198,0.125,0.071,-1.1
2006,Boston College,ACC,14.8,8.8,0.877,29.5,110.7,96,98.8,104.8,105.5,101.6,0.441,-1.1,14.6,113.4,100.8,107.5,112.1,107.2,106,0.2,0.129,0.069,-0.1
