year,team,conference,rating,secondOrderWins,sos,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2001,Miami,ACC,27,,,39.7,,,,,,,,,12.7,,,,,,,,,,
2001,Florida,SEC,24.4,,,42.1,,,,,,,,,17.7,,,,,,,,,,
2001,Tennessee,SEC,19.4,,,34.7,,,,,,,,,15.3,,,,,,,,,,
2001,Texas,Big 12,16.2,,,36,,,,,,,,,19.7,,,,,,,,,,
2001,Nebraska,Big Ten,16.1,,,34.5,,,,,,,,,18.5,,,,,,,,,,
2001,Syracuse,ACC,15.1,,,29.8,,,,,,,,,14.7,,,,,,,,,,
2001,Oregon,Pac-12,14.5,,,35.1,,,,,,,,,20.6,,,,,,,,,,
2001,Florida State,ACC,14.4,,,36.7,,,,,,,,,22.3,,,,,,,,,,
2001,Colorado,Pac-12,13.8,,,35,,,,,,,,,21.2,,,,,,,,,,
2001,LSU,SEC,13.7,,,34.5,,,,,,,,,20.9,,,,,,,,,,
2001,Oklahoma,Big 12,12.8,,,28.1,,,,,,,,,15.3,,,,,,,,,,
2001,Michigan,Big Ten,12.7,,,29.5,,,,,,,,,16.8,,,,,,,,,,
2001,Virginia Tech,ACC,12.6,,,29.3,,,,,,,,,16.7,,,,,,,,,,
2001,South Carolina,SEC,11.5,,,27.9,,,,,,,,,16.4,,,,,,,,,,
2001,Kansas State,Big 12,11.1,,,27.8,,,,,,,,,16.7,,,,,,,,,,
2001,UCLA,Pac-12,10.9,,,30.1,,,,,,,,,19.1,,,,,,,,,,
2001,Washington State,Pac-12,10.7,,,33,,,,,,,,,22.3,,,,,,,,,,
2001,Stanford,Pac-12,10,,,36.8,,,,,,,,,26.8,,,,,,,,,,
2001,Marshall,Conference USA,9.9,,,39.1,,,,,,,,,29.2,,,,,,,,,,
2001,Iowa,Big Ten,9.6,,,31.9,,,,,,,,,22.2,,,,,,,,,,
2001,Illinois,Big Ten,9.6,,,32.9,,,,,,,,,23.4,,,,,,,,,,
2001,Texas Tech,Big 12,9.5,,,33,,,,,,,,,23.6,,,,,,,,,,
2001,Louisville,ACC,9,,,28.6,,,,,,,,,19.6,,,,,,,,,,
2001,Arkansas,SEC,9,,,27.7,,,,,,,,,18.7,,,,,,,,,,
2001,Maryland,Big Ten,8.8,,,32.7,,,,,,,,,23.9,,,,,,,,,,
2001,USC,Pac-12,8.8,,,25.4,,,,,,,,,16.6,,,,,,,,,,
2001,Georgia,SEC,8.6,,,27.5,,,,,,,,,19,,,,,,,,,,
2001,Fresno State,Mountain West,8.6,,,36.7,,,,,,,,,28,,,,,,,,,,
2001,Boston College,ACC,8.3,,,27.2,,,,,,,,,18.9,,,,,,,,,,
2001,Utah,Pac-12,8.2,,,26.5,,,,,,,,,18.3,,,,,,,,,,
2001,North Carolina,ACC,7.6,,,27.1,,,,,,,,,19.6,,,,,,,,,,
2001,Pittsburgh,ACC,7.4,,,26.9,,,,,,,,,19.4,,,,,,,,,,
2001,Alabama,SEC,7.1,,,26.4,,,,,,,,,19.3,,,,,,,,,,
2001,Washington,Pac-12,7,,,33.7,,,,,,,,,26.7,,,,,,,,,,
2001,Notre Dame,FBS Independents,6.7,,,22.7,,,,,,,,,16.1,,,,,,,,,,
2001,Ohio State,Big Ten,6.5,,,26.4,,,,,,,,,19.9,,,,,,,,,,
2001,Georgia Tech,ACC,6.4,,,30,,,,,,,,,23.6,,,,,,,,,,
2001,East Carolina,American Athletic,6.3,,,35.9,,,,,,,,,29.7,,,,,,,,,,
2001,Texas A&M,SEC,6.3,,,21.2,,,,,,,,,14.9,,,,,,,,,,
2001,Penn State,Big Ten,5.9,,,27,,,,,,,,,21.1,,,,,,,,,,
2001,BYU,FBS Independents,5.4,,,40.1,,,,,,,,,34.6,,,,,,,,,,
2001,Oregon State,Pac-12,4.8,,,26.9,,,,,,,,,22.1,,,,,,,,,,
2001,Michigan State,Big Ten,4.7,,,30.9,,,,,,,,,26.2,,,,,,,,,,
2001,Bowling Green,Mid-American,4.7,,,27.2,,,,,,,,,22.6,,,,,,,,,,
2001,Auburn,SEC,4.6,,,24.6,,,,,,,,,19.9,,,,,,,,,,
2001,Wisconsin,Big Ten,4.3,,,30.8,,,,,,,,,26.4,,,,,,,,,,
2001,Indiana,Big Ten,4,,,29.4,,,,,,,,,25.4,,,,,,,,,,
2001,Clemson,ACC,3.7,,,31.7,,,,,,,,,28,,,,,,,,,,
2001,Purdue,Big Ten,3.2,,,23.6,,,,,,,,,20.3,,,,,,,,,,
2001,NC State,ACC,2.9,,,25.4,,,,,,,,,22.5,,,,,,,,,,
2001,Colorado State,Mountain West,2.7,,,25.2,,,,,,,,,22.4,,,,,,,,,,
2001,Miami (OH),Mid-American,2.6,,,27.5,,,,,,,,,24.8,,,,,,,,,,
2001,Ole Miss,SEC,2.4,,,33.2,,,,,,,,,30.8,,,,,,,,,,
2001,Mississippi State,SEC,2,,,23,,,,,,,,,20.9,,,,,,,,,,
2001,Iowa State,Big 12,1.5,,,23.8,,,,,,,,,22.3,,,,,,,,,,
2001,Hawai'i,Mountain West,1.4,,,35.3,,,,,,,,,33.9,,,,,,,,,,
2001,Toledo,Mid-American,1.3,,,30,,,,,,,,,28.7,,,,,,,,,,
2001,UCF,American Athletic,1,,,24.2,,,,,,,,,23.2,,,,,,,,,,
2001,Southern Mississippi,Conference USA,0.8,,,21.4,,,,,,,,,20.6,,,,,,,,,,
2001,West Virginia,Big 12,0.6,,,23.1,,,,,,,,,22.5,,,,,,,,,,
2001,Boise State,Mountain West,0.3,,,29,,,,,,,,,28.7,,,,,,,,,,
2001,Kentucky,SEC,0.3,,,28.6,,,,,,,,,28.3,,,,,,,,,,
2001,Arizona State,Pac-12,0.2,,,33.6,,,,,,,,,33.4,,,,,,,,,,
2001,South Florida,American Athletic,0.2,,,24.7,,,,,,,,,24.5,,,,,,,,,,
2001,Oklahoma State,Big 12,0.2,,,25,,,,,,,,,24.8,,,,,,,,,,
2001,Wake Forest,ACC,-0.2,,,28.6,,,,,,,,,28.8,,,,,,,,,,
2001,Troy,Sun Belt,-0.3,,,25.1,,,,,,,,,25.3,,,,,,,,,,
2001,TCU,Big 12,-0.9,,,23.3,,,,,,,,,24.2,,,,,,,,,,
2001,Minnesota,Big Ten,-1,,,26,,,,,,,,,27.1,,,,,,,,,,
2001,Memphis,American Athletic,-1.8,,,25.2,,,,,,,,,27,,,,,,,,,,
2001,UAB,Conference USA,-2,,,19.8,,,,,,,,,21.8,,,,,,,,,,
2001,Western Michigan,Mid-American,-2.1,,,23.3,,,,,,,,,25.4,,,,,,,,,,
2001,Northwestern,Big Ten,-2.3,,,30.6,,,,,,,,,32.9,,,,,,,,,,
2001,Northern Illinois,Mid-American,-2.5,,,25.7,,,,,,,,,28.1,,,,,,,,,,
2001,Virginia,ACC,-2.8,,,23.5,,,,,,,,,26.2,,,,,,,,,,
2001,UNLV,Mountain West,-3,,,23.7,,,,,,,,,26.6,,,,,,,,,,
2001,Arizona,Pac-12,-3.5,,,30,,,,,,,,,33.5,,,,,,,,,,
2001,Cincinnati,American Athletic,-3.6,,,24.3,,,,,,,,,27.9,,,,,,,,,,
2001,Utah State,Mountain West,-3.6,,,30.7,,,,,,,,,34.3,,,,,,,,,,
2001,Missouri,SEC,-3.8,,,24.3,,,,,,,,,28.1,,,,,,,,,,
2001,Temple,American Athletic,-3.8,,,20.8,,,,,,,,,24.5,,,,,,,,,,
2001,New Mexico,Mountain West,-3.8,,,22.9,,,,,,,,,26.7,,,,,,,,,,
2001,Kent State,Mid-American,-3.8,,,21.8,,,,,,,,,25.5,,,,,,,,,,
2001,Louisiana Tech,Conference USA,-4.2,,,31.2,,,,,,,,,35.4,,,,,,,,,,
2001,Kansas,Big 12,-5.8,,,24.4,,,,,,,,,30.2,,,,,,,,,,
2001,Middle Tennessee,Conference USA,-6.3,,,28.4,,,,,,,,,34.8,,,,,,,,,,
2001,Vanderbilt,SEC,-7.1,,,25.4,,,,,,,,,32.5,,,,,,,,,,
2001,Akron,Mid-American,-7.8,,,25.3,,,,,,,,,33,,,,,,,,,,
2001,California,Pac-12,-8.2,,,24.6,,,,,,,,,32.9,,,,,,,,,,
2001,Air Force,Mountain West,-8.4,,,26.8,,,,,,,,,35.2,,,,,,,,,,
2001,North Texas,Conference USA,-8.5,,,19.4,,,,,,,,,27.9,,,,,,,,,,
2001,Tulane,American Athletic,-8.6,,,31.8,,,,,,,,,40.4,,,,,,,,,,
2001,Rice,Conference USA,-9.1,,,23.3,,,,,,,,,32.4,,,,,,,,,,
2001,Ball State,Mid-American,-9.1,,,19.6,,,,,,,,,28.7,,,,,,,,,,
2001,Nevada,Mountain West,-9.2,,,28.1,,,,,,,,,37.3,,,,,,,,,,
2001,Baylor,Big 12,-9.6,,,19.9,,,,,,,,,29.5,,,,,,,,,,
2001,Ohio,Mid-American,-10.2,,,18.5,,,,,,,,,28.8,,,,,,,,,,
