,Ln,Dn,Ds,DForm,OForm,Box,WR,RB,TE,Play,Player,Type,Yards,description,YTEZ,YTG,PassDown,Block,RollingAvg5,RollingAvg10,RollingAvg20,RollingAvg40,TypeNum,YardsGained,NetYards,Catch,Success,NetSuccess,3yds,PenaltyYards,FirstDown,BigPlay,BigPlay10+,BigPlay20+,BigPlay30+,BigPlay40+,Game,PlayNum,Year
170,o33,1,10,nickel even,shotgun 3-wide,6,3.0,1.0,1.0,dumpoff,charbonnet,pass,6,"
army in parking lot. charbonnet sees no blitz and leaks out, which converts a de trying to check him into a blitzer with no pickup; patterson has hitched up three times already before checking down to charbonnet. meh. i don’t know how you’re not running a hitch on the sideline against this coverage. (ca, 3, protection 2/2)
",33,10,0,,0.6,0.5,0.45,0.4864864864864865,1,6.0,6.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,37,2019
171,o27,2,4,nickel even,shotgun trips te,6,3.0,1.0,1.0,te out,eubanks,pass,inc,"
patterson zings this way wide of eubanks. probable pi since uncatchable is usually applied only to balls that no one could ever catch, but it’s a miss either way. (in, 0, protection 2/2, refs -1)
",27,4,0,,0.6,0.5,0.45,0.5,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,38,2019
172,o27,3,4,404 nickel,shotgun 3-wide,6,3.0,1.0,1.0,zone read keeper,patterson,pass,-11,"
extremely bad. this is an attempt to get a few yards and kick a field goal. there is literally no one within ten yards of either wr to the field. throw a bubble. army has a press cb to the boundary, which is a cb blitz. patterson pulls on the de dive but i’m not minusing for this since charbonnet’s going to get hammered anyway. grounding is immaterial. rps -3.
",27,4,0,,0.8,0.6,0.5,0.5128205128205128,1,-11.0,-11.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,39,2019
173,m16,1,10,base 3-4,shotgun twin te,7.5,2.0,1.0,2.0,rpo iz,charbonnet,run,1,"
patterson(-1) seems to have an obvious throw read here but hands off. mayfield(-1) gets an interior step from a standup de but doesn’t alert to the likely result of this. he fires at the de and hits him and then comes back to the olb after. that guy has already slanted inside mckeon, who has no chance to prevent this, into the backfield. charbonnet is cut off from the frontside of the play and forced back into unblocked guys. this is essentially a nine man run d. no rps minus because the rpo is there. ruiz(+1) crushed his guy at least; onwenu(+0.5) got a good second level block.
",84,10,0,,1.0,0.7,0.5,0.525,0,1.0,1.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,40,2019
174,m17,2,9,404 nickel,shotgun twins twin te,6.5,2.0,1.0,2.0,rpo slant,black,pass,inc,"
mccaffrey in. fed up with patterson’s reads? this is definitely an rpo but it looks like mccaffrey is making this read presnap. army does clear the underneath level. mccaffrey doesn’t throw right away after aborting the mesh but hunches briefly, allowing a db to react, and then he throws it way upfield. don’t know if collins is an option here but wide open. also: bubble ffs. (in, 0, rpo)
",83,9,1,,0.8,0.7,0.5,0.525,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,41,2019
175,m17,3,9,nickel even,shotgun trips te,6,3.0,1.0,1.0,sack,,pass,-1,"
patterson. mayfield(-1) gets off his block to get an edge blitzer late and patterson moves up in the pocket. he immediately decides to run instead of move up to buy time and get to an open receiver and runs himself into a sack. (ta, n/a, protection ½)
",83,9,1,,0.8,0.7,0.55,0.525,1,-1.0,-1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,42,2019
176,m22,1,10,nickel even,shotgun trips te,6.5,3.0,1.0,1.0,inside zone,charbonnet,run,6,"
army dt might bust here as he runs away from the play and no one replaces him. ruiz(+0.5) duly shoves him past; onwenu(+1) goes and gets a second level block. mayfield and mckeon double a guy and get him off the los but no one releases. charbonnet could try to threaten one gap and then hit the other but takes the guaranteed chunk of yards, which is fine. hayes(+1) and bredeson(+1) had successfully reached other dt and charbonnet might have a cutback to get more but tough to see.
",78,10,0,,0.8,0.7,0.6,0.55,0,6.0,6.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,43,2019
177,m28,2,4,nickel even,shotgun trips te,6.5,3.0,1.0,1.0,rpo iz,charbonnet,run,6,"
blitz off the edge where there’s no eligible; he’s through clean but charbonnet(+1) steps through his tackle as blitzer’s initial angle is to qb; patterson is looking to the other side of the field for a potential rpo. blocking is a strange dance; mayfield(+0.5) helps a guy kick himself out. ownenu(+1) and ruiz(+1) bury the nt and open up a big gap. wlb is free after a bout two; charbonnet trucks him for 4 yac.
",72,4,0,,0.6,0.7,0.6,0.525,0,6.0,6.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,44,2019
178,m34,1,10,base 3-4,shotgun 3-wide,6.5,2.0,1.0,2.0,scramble,patterson,pass,2,"
three man rush converts to four when charbonnet runs at a lb to hit him, okay. nobody is anywhere near patterson when he bugs out at scrambles for a few. (ta, n/a, protection 2/2)
",66,10,0,,0.4,0.7,0.55,0.525,1,2.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,45,2019
179,m36,2,8,404 base,shotgun trips,7.5,3.0,1.0,1.0,rpo iz,charbonnet,run,0,"
army lbs are backing out so patterson gives; eubanks actually cuts under one of them so he’s open, wonder if this should be a pass anyway? m eats a run blitz, with hayes(-1) moving out to an olb who’s force and has collins on him. bredeson pops off his block late as he sees the problem; charbonnet cuts behind. ruiz(-1) did not perceive the army run slant and releases into nobody downfield. rps -1.
",64,8,1,,0.6,0.7,0.6,0.55,0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,46,2019
180,m36,3,8,nickel even,shotgun trips,6,3.0,1.0,1.0,fly,collins,pass,inc (pen +15),"
hayes(-2) gets spun through immediately. patterson has to get rid of it and chucks it at collins. collins is against a cb with ten yards of cushion so he can’t get over the top but the cb never gets his head around on a ball way inside and interferes with collins’s ability to get back to it. (ma, 0, protection 0/2)
",64,8,1,,0.4,0.6,0.55,0.525,1,,15.0,0.0,,1.0,0,15,1,0,0,0,0,0,2019-offense-vs-army,47,2019
181,o49,1,10,,,,,,,,charbonnet,run,0,"
tape doesn’t have this play.
",49,10,0,,0.4,0.6,0.55,0.525,0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,48,2019
182,o49,2,10,,,,,,,,black,pass,1,"
same.
",49,10,1,,0.4,0.5,0.55,0.525,1,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,49,2019
183,o48,3,9,404 base,shotgun 3-wide,7,3.0,1.0,1.0,in,collins,pass,18,"
hopeless corner blitz from the far end of the field doesn’t even get to onwenu, really, before the ball is out; collins(route+) sells outside and then breaks in on the safety trying to cover, wide open pitch and catch for a chunk, rps +2, (ca, 3, protection 2/2)
",48,9,1,,0.6,0.5,0.6,0.525,1,18.0,18.0,1.0,1.0,1.0,1,0,0,1,1,0,0,0,2019-offense-vs-army,50,2019
184,o30,1,10,,,,,,,,charbonnet,,3,"
also missing.
",30,10,0,,0.6,0.6,0.65,0.55,0,3.0,3.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,51,2019
185,o27,2,7,base 3-4,shotgun 2te tight,7,2.0,1.0,2.0,rpo flat,eubanks,pass,0,"
s running at this hard so it’s probably only going to be a modest gain; patterson airmails it. (in, 0, rpo)
",27,7,0,,0.6,0.5,0.6,0.525,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,52,2019
186,o27,3,7,404 nickel,shotgun 4-wide tight,6,3.0,1.0,1.0,cross,bell,pass,25,"
maaan. another three man rush. patterson has the patience to wait it out this time. he comes to bell crossing the field and either brilliantly avoids a zone defender or is lucky to throw the ball behind bell, thus avoiding a pick. i think the latter. the db literally steps out of the way just as patterson’s throwing. lucky. (ca, 2, protection 1/1)
",27,7,1,,0.6,0.5,0.6,0.55,1,25.0,25.0,1.0,1.0,1.0,1,0,0,1,1,1,0,0,2019-offense-vs-army,53,2019
187,o2,1,g,goal line,shotgun trips tight bunch,10,2.0,1.0,2.0,inside zone,charbonnet,run,1,"
zero read on this, army sends a guy off the edge who doesn’t have to bother with patterson and he tackles after a minimal gain. patterson turns his back and loops around. rps -1. eubanks(+0.5) and mckeon(+0.5) probably did enough on the edge to get a td if this doesn’t happen.
",2,2,0,,0.8,0.6,0.65,0.55,0,1.0,1.0,,1.0,1.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,54,2019
188,o1,2,g,goal line,shotgun 3te,10,1.0,1.0,3.0,split zone,charbonnet,run,1,"
all in a wing spot; he motions across. then he pulls back across the formation. eubanks is hitting a de inside of him, which is by design; all(+0.5) runs up and stops him. onwenu(+2) immediately pancakes a dt and mayfield(+0.5) gets a free release thanks to the all block and gets a second level player.
",1,1,0,,0.6,0.6,0.65,0.525,0,1.0,1.0,,1.0,1.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,55,2019
189,m32,1,10,404 nickel,shotgun 3-wide,6.5,3.0,1.0,1.0,flare screen,bell,pass,9,"
hooray, they finally go after army for playing so soft. easy pickings. (ca, 3, screen, rps +1). why did it take three quarters to do this?
",68,10,0,,0.4,0.5,0.6,0.525,1,9.0,9.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,56,2019
190,m41,2,1,404 nickel,shotgun trips te,6.5,3.0,1.0,1.0,inside zone,charbonnet,run,0,"
hayes(-1) and bredeson(-1) get a stunt that they fail to pick up. olb right in the lane; mayfield(-0.5) driven back by a olb a bit; he’s pushing but charbonnet has to cut to the shuffle end, and he tackles. ruiz(+0.5) and onwenu(+0.5) both moved guys; could have been successful.
",59,1,0,,0.6,0.6,0.6,0.525,0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,57,2019
191,m41,3,1,404 nickel,shotgun 3-wide,6.5,3.0,1.0,1.0,inside zone,charbonnet,run,6,"
bubble; m gets their assignments right as they run at it. mckeon(+0.5) slows up and hits the shuffle end as he tries to come down. mayfield(+0.5) gets a free release hit on the wlb; onwenu(+0.5) tosses his guy along the line, and charbonnet(+0.5) quickly shifts into the gap.
",59,1,0,,0.4,0.5,0.55,0.5,0,6.0,6.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,58,2019
192,m47,1,10,base 3-4,shotgun twin te,7,2.0,1.0,2.0,te cross,eubanks,pass,inc,"
late movement from army as their cb bails on black a la that ou interception last year. flood again; this time army is waiting for it and a safety is able to break on the ball and get a quality pbu. patterson probably didn’t have anything else so the attempt is fine. (ca, 0, protection 2/2, rps -1)
",53,10,0,,0.2,0.5,0.5,0.5,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,59,2019
193,m47,2,10,404 nickel,shotgun 3-wide,6.5,3.0,1.0,1.0,inside zone,charbonnet,run,3,"
no read here; if there is one it’s not blocked like it. mckeon kicks out an overhang lb who’s nominally the shuffle end. de slants hard inside and gets blocked by mayfield(+0.5) and onwenu(+0.5) with mayfield climbing to the mlb. there’s a gap. with a free hitter in it, who started at four yards deep. charbonnet tries to burrow along the line for a few and does. rps -1.
",53,10,1,,0.4,0.5,0.5,0.5,0,3.0,3.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,60,2019
194,50,3,7,nickel even,shotgun trips,6,3.0,1.0,1.0,cross,bell,pass,11,"
four man rush with a delayed blitzer who onwenu and charbonnet both pick up. that dude goes down in a heap. nice pocket, patterson hangs in and delivers a strike to bell. (ca, 3, protection 2/2)
",50,7,1,,0.4,0.4,0.5,0.5,1,11.0,11.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,2019-offense-vs-army,61,2019
195,o39,1,10,404 base,shotgun 3-wide,7,3.0,1.0,1.0,rpo slant,bell,pass,12,"
army olb appears to tip his blitz; patterson points him out and rpos over his head. with cbs bailing on the outside black is also wide wide open. (ca, 3, rpo, patterson +1) i need some sort of read metric? all this rpos are breaking my system.
",39,10,0,,0.4,0.5,0.5,0.525,1,12.0,12.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,2019-offense-vs-army,62,2019
196,o27,1,10,base 3-4,shotgun twin te,7,2.0,1.0,2.0,inside zone,charbonnet,run,2,"
hayes(-2) runs by a first level defender who gets left for mckeon without a chip. mckeon is off the los and has no shot at this block. he engages but his dude is in a gap at the los. charbonnet could try to bounce to the boundary; instead he tries to poke to the backside. nothing there as a dt essentially cut blocked the interior ol, 1960s style, and no read means free hitter. rps -1.
",27,10,0,,0.6,0.5,0.5,0.55,0,2.0,2.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,63,2019
197,o25,2,8,base 3-4,shotgun twin te,7,2.0,1.0,2.0,waggle improv,eubanks,pass,5,"
second and eight pa on a stretch they haven’t run well all day. basic waggle stuff; army covers all of it. patterson does a good job to stay on the move and find a small window to get eubanks a few yards. (ca+, 2, protection n/a, rps –1)
",25,8,1,,0.6,0.4,0.5,0.55,1,5.0,5.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,64,2019
198,o20,3,3,404 nickel,shotgun twins twin te,7.5,2.0,1.0,2.0,rpo power,charbonnet,run,1,"
line slants to this; mayfield(-2) gets a dt slanting to him and allows him across his face. if he fires this guy inside m is in business. as it is the two pullers have to try to make it work inside, where there is no room. bredeson(-0.5) hits mayfield’s guy instead of going in the gap; eubanks goes in the gap, hitting one of the two guys in there. charbonnet gets stuck by the second. onwenu(+1) killed the other dt.
",20,3,0,,0.6,0.5,0.55,0.55,0,1.0,1.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,65,2019
199,o19,4,2,404 base,shotgun 2-back twins tight,8,2.0,2.0,1.0,bash?,charbonnet,run,-4,"
i’d have to see this work before figuring out what the point was. most of the line blocks left. mayfield feints that way and then tries to release to the right, trying to climb to the playside lb. m trying to flank army to the outside to the right then. i guess bell(-1) and bvs(-1) are supposed to get blocks in on the two edge guys who come tearing off the corner, but bell gets cut off by mayfield and bvs has no shot. rps -3, this is an attempt at a home run ball on fourth and two. i defy anyone to tell me that consecutive mason dives don’t get this.
",19,2,0,,0.6,0.5,0.5,0.55,0,-4.0,-4.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,66,2019
200,m16,1,10,404 nickel,shotgun trips,6.5,3.0,1.0,1.0,outside zone,turner,run,6 + 15 pen,"
onwenu(+2) gets a bonafide reach block, yow. mckeon(+1) shoots his guy down the line and locks him out. ruiz(+1) climbs to an kicks out a lb; mayfield(+1) extends to a safety. m blocks this the last man, a safety who is at 15 yards and backing out on the snap and does an incredible job to come down and chop turner down after six yards. he is flying full speed, this is like a +2 safety tackle. turner starts going down and gets clocked by an army guy’s shoulder. this is called targeting, which may be the letter of the law but what is this guy supposed to do? refs +2.
",84,10,0,,0.4,0.4,0.5,0.525,0,,6.0,,,1.0,0,0,1,0,0,0,0,0,2019-offense-vs-army,67,2019
201,m37,1,10,nickel even,shotgun trips,6.5,3.0,1.0,1.0,outside zone,charbonnet,run,2,"
other way, no reach this time. mckeon(+1) is able to drive his kick far enough to create a lane anyway. hayes(-1) releases to the second level and hits a guy ruiz is already bothering. i get it but he’s missed an overhang lb to the field, and he gets a free run at charbonnet.
",63,10,0,,0.2,0.4,0.45,0.5,0,2.0,2.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,68,2019
202,m39,2,8,4-3 under,shotgun 3-wide tight,8,2.0,1.0,2.0,split zone,charbonnet,run,5,"
looks like a scrape for army but the scrape backer is barely thinking patterson is a threat to keep and never actually gets outside. handoff into a lot of dudes. it’s bad when your split zone doesn’t have a whisper of an option for a backside cut or a keep. gap as mayfield(+1) gets a big kick and onwenu(+1) neutralizes a dt slanting to him. collins(-2) wanders off the los, drifts outside, and blocks no one. he could have got the overhang lb. instead that guy runs right at charbonnet and tackles.
",61,8,1,,0.2,0.4,0.45,0.5,0,5.0,5.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,69,2019
203,m44,3,3,nickel even,shotgun trips,7.5,3.0,1.0,1.0,rpo iz,charbonnet,run,4,"
rpo threat does hold the wlb long enough for charbonnet to get across the line after mckeon(+0.5) gets a free kickout and mayfield(+2) crumples the dt to the ground. charbonnet cuts smartly off mayfield and gets it easily.
",56,3,0,,0.0,0.3,0.4,0.5,0,4.0,4.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,70,2019
204,m49,1,10,404 base,shotgun twins twin te,7.5,2.0,1.0,2.0,outside zone,charbonnet,run,3,"
i don’t get the actions here from the ol as they don’t try to flank and pass off the olb to the playside; this is almost like hayes(-1) and bredeson are running iz and the rest of the line is oz. so instead of stepping left, chipping with mckeon, and having hayes step around the two guys drive the olb straight back and mckeon has no angle to the playside lb. charbonnet gets pushed wide and chased down.
",51,10,0,,0.0,0.3,0.35,0.5,0,3.0,3.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,71,2019
205,o48,2,7,nickel even,shotgun trips te,6,3.0,1.0,1.0,qb pin and pull,patterson,run,4,"
this ends up looking extremely strange as none of the interior ol really have anyone to block but only ruiz pulls immediately. hayes(-2) blocks down on a dt who is shaded inside of bredeson instead of pulling around. mckeon(+2) hammers the olb in and seals him. this is going to work great except there’s no one for a kick on the overhang guy because hayes didn’t pull. patterson is forced inside, ruiz loses his blocking angle, and this is not a conversion.
",48,7,0,,0.0,0.2,0.35,0.475,0,4.0,4.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,72,2019
206,o44,3,3,4-3 under,shotgun 3-wide tight,8,3.0,1.0,1.0,arc iz,charbonnet,run,1,"
army scrape exchange, give, you cannot just get scrape exchanged and kill the qb runs with no compensation. backside end is coming down hard the whole time and tackles, rps -2. bredeson(+2) immediate pancake on dt. mckeon(+1) got his guy kicked out. hayes(+0.5) found a second level guy. the gap is there if m is not getting rpsed. charbonnet(-1) should probably be extending away from the crashing de and testing the outside. 
",44,3,0,,0.0,0.1,0.3,0.45,0,1.0,1.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,73,2019
207,o43,4,2,404 base,shotgun twins twin te,8,2.0,1.0,2.0,arc iz,charbonnet,run,1,"
ayfkm. m runs the same thing. army has a run blitz that times up the snap. guy roars upfield at mccaffrey, must give. olb dives inside on mckeon, mckeon pushes. olb scrapes around free and hammers charbonnet. eubanks has no one he can block. rps -3. meanwhile look at your two wrs.
",43,2,0,,0.0,0.1,0.25,0.45,0,1.0,1.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,74,2019
208,o25,1,10,4-3 under,shotgun 3-wide,7,3.0,1.0,1.0,power o,charbonnet,run,4,"
jet fake, power the other way. onwenu(+1) and mayfield crunch a dt, he’s gone, mayfield moves to the second level where he gives back a plus with a weak second level block. bredeson(+0.5) pulls, kick. mckeon gets a push against an army lb who weirdly dives into him and shoves hi back. charbonnet(+0.5) cuts inside of this and goes but an unblocked guy coming in pushes him into mayfield’s guy.
",25,10,0,,0.0,0.0,0.25,0.45,0,4.0,4.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,75,2019
209,o29,2,6,404 nickel,shotgun twins twin te,6.5,2.0,1.0,2.0,inside zone,charbonnet,run,0,"
hayes(-2) driven back by a de, which is a problem. line slants to the play and jams everything up. bredeson(+0.5) and ruiz(+0.5) kill a guy but the slant and the hayes block cover it up. mostly the hayes block. onwenu(+1) also woops a guy.
",29,6,0,,0.0,0.0,0.25,0.425,0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,76,2019
210,o29,3,6,nickel even,shotgun trips te,6,3.0,1.0,1.0,drag,bell,pass,17,"
mayfield(-1) insanely tries to chase a guy around on a stunt when onwenu (gold star) is very willing to pass him off. this leads to a brief moment where onwenu is blocking two dudes. this gives patterson just enough time to hang in and find bell as he breaks to the sideline on his drag. (ca, 3, protection 2/3, onwenu gold starrrr). this play alone wins onwenu mr. worldwide.
",29,6,1,,0.0,0.0,0.2,0.4,1,17.0,17.0,1.0,1.0,1.0,1,0,0,1,1,0,0,0,2019-offense-vs-army,77,2019
211,o12,1,10,nickel over,shotgun trips te,6,3.0,1.0,1.0,rpo slant,black,pass,inc (pen +9),"
this is not a good spot for an rpo since the wrs all have man coverage and the read is immaterial; this just turns into a slant that’s covered but you have to throw. db does get there early and pbu; refs(+1) throw a flag in a situation where it’s not always called. yeah, it’s pi. but it might fall under rubbin’s racin’. i’d probably push this coverage. (ca, 0, rpo)
",12,10,0,,0.2,0.1,0.25,0.4,1,,9.0,0.0,,1.0,0,9,1,0,0,0,0,0,2019-offense-vs-army,78,2019
212,o3,1,g,4-3 under,shotgun 3te,9,1.0,1.0,3.0,split zone,charbonnet,run,3,"
so good from charbonnet(+1), who has to regap as a slant crosses eubanks’s face; he does this with barely any loss in momentum and then bulls his way into the endzone for the rest. this is why he’s going to be a dude.
",3,3,0,,0.4,0.2,0.3,0.4,0,3.0,3.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,79,2019
213,o25,1,10,404 base,shotgun twins,6.5,2.0,1.0,2.0,post,collins,pass,inc,"
double posts, deep s goes with black in the slot, collins(route +) wins and has two steps. patterson airmails it out of the endzone. injury, probably. frustrating because even if you leave this short it’s a td or pi. give your man a chance! (in, 0, protection 2/2)
",25,10,0,,0.4,0.2,0.25,0.375,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,80,2019
214,o25,2,10,base 3-4,shotgun 3-wide,7,3.0,1.0,1.0,hitch,black,pass,inc,"
hitch, wide open, easy. patterson throws a wobbler that is catchable but much tougher than it has to be and black can’t make the catch. (ma, 2, protection 1/1)
",25,10,1,,0.6,0.3,0.3,0.4,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,81,2019
215,o25,3,10,nickel over,shotgun 4-wide,6.5,3.0,1.0,1.0,hitch,black,pass,inc,"
this one is nowhere near. (in, 0, protection 1/1)
",25,10,1,,0.8,0.4,0.3,0.4,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,82,2019
216,m27,1,10,4-3 over,shotgun twins twin te,7,2.0,1.0,2.0,scramble,patterson,pass,13,"
five man rush with charbonnet left in; hayes picks up a blitzer and flings him upfield. full pickup by ol. patterson(+1) doesn’t like what he sees and breaks through the line, picking up a first down but fumbling(-3) and turning the ball over. (scr, n/a, protection 3/3)
",73,10,0,,,,,,1,13.0,13.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,2019-offense-vs-mtsu,0,2019
217,m27,1,10,4-3 over,shotgun trips tight bunch,7,2.0,1.0,2.0,split zone,charbonnet,run,14,"
orbit motion from bell, split zone with mckeon(+1) moving backside. possible this is a real read since mckeon looks set to dodge this guy for arc; then guy tries to get inside of him, indicating a give, and he redirects to pop the dude. hayes(+1) gets a blitzing lb and kicks him. ruiz(+1) gets a slant to him and seals his guy away; bredeson(+1) reads the slant and finds a second level block. charbonnet(+0.5) doesn’t have to do much but run straight real fast but he does that and picks an angle between safeties that almost breaks it.
",73,10,0,,1.0,1.0,1.0,1.0,0,14.0,14.0,,1.0,1.0,1,0,0,1,1,0,0,0,2019-offense-vs-mtsu,1,2019
218,m41,1,10,4-3 even,shotgun 3-wide,7,3.0,1.0,1.0,split zone,charbonnet,run,3,"
orbit again; mtsu slants away and shows no one on the edge so eubanks has no one to kick. he filters down to the shuffling end and gets him. charbonnet doesn’t see much. tough for bredeson(-0.5) and ruiz(-0.5) to seal a guy slanting to them but some more depth would have been helpful. onwenu(+0.5) and mayfield(+0.5) blow out the other dt but shuffling end gets inside eubanks(+0.5) and charbonnet has to cut all the way back into a lb mayfield had no angle for. keep option looks covered, too. rps -1.
",59,10,0,,0.5,0.5,0.5,0.5,0,3.0,3.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-mtsu,2,2019
219,m44,2,7,nickel even,shotgun 3-wide,6,3.0,1.0,1.0,te out,eubanks,pass,0,"
five guys sent again, mostly picked up but hayes(-1) can’t anchor and gets driven back to patterson; might cause this throw. this is a bad read to a te in the flat who gets tackled immediately. btn zoom-o-cam means all i know is that collins is open on a drag for a decent gain. but he is. (br, 3, protection ½)
",56,7,0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-mtsu,3,2019
220,m44,3,7,exotic,shotgun trips,7.5,3.0,1.0,1.0,hitch,collins,pass,15,"
collins (route+) gets press coverage, drives it, and pops back for a hitch at the sticks. he’s able to catch and then yac because this cb got off balance trying to match collins’s start-stop. slick pitch and catch to convert. (ca, 3, protection 1/1)
",56,7,1,,0.5,0.5,0.5,0.5,1,15.0,15.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,2019-offense-vs-mtsu,4,2019
221,o41,1,10,3-3 stack,shotgun 3-wide,6,3.0,1.0,1.0,outside zone,turner,run,4,"
blitz off the edge this goes to eliminates the corner and gets mtsu a two-for one; turner(+1) has to cut it up and does. ruiz(+0.5) and onwenu(+0.5) briefly double backside dt and move him. not quite a reach for onwenu but he goes down. mtsu lined up a safety at ten yards who fires hard down at run action here and is a free hitter just as turner gets to the second level. rps -1.
",41,10,0,,0.6,0.6,0.6,0.6,0,4.0,4.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-mtsu,5,2019
222,o37,2,6,3-3 stack,shotgun 3-wide,6,3.0,1.0,1.0,hitch,collins,pass,7,"
db playing in the parking lot, easy. (ca, 3, protection 1/1, rps +1)
",37,6,0,,0.4,0.5,0.5,0.5,1,7.0,7.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-mtsu,6,2019
223,o30,1,10,5-1 split,shotgun trips h,6.5,3.0,1.0,1.0,speed option,patterson,run,4,"
as a reminder: trips with an h back means covered slot who is not eligible. speed option to the side with the people. bredeson(+1) turns in playside de with help from hayes(+1), who doesn’t actually block on the second level because his guy tries to go around but does remove him from the play. agile. patterson gets a point for a good decision to keep that sees him shoot upfield and then gives it back since he tries to bounce when the safety fills and ends up turning eight into four. wr blocking here looks borked with sainristil(-1) going to hit a guy that is being sealed inside by black; he could go direct to the safety. rps +1, unbalanced got mtsu to waste a s to the nobody side.
",30,10,0,,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714,0,4.0,4.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-mtsu,7,2019
224,o26,2,6,4-3 even,shotgun twin te,7,2.0,1.0,2.0,pin and pull,turner,run,6,"
pnp doesn’t work so well as eubanks(-2) appears to miss his assignment. usually you’re going to see a playside double on the emlos here with the outside guy climbing to a lb away from the play; eubanks feints at that guy and then moves to the cb. mckeon(-1) gets shot back by the de; bredeson(+1) gets hung up on him and is able to stall the dude out and give turner(+2) a shot. turner sees the mess, bounces without hesitation, and is able to tightrope the sideline to rescue a borked play.
",26,6,0,,0.6,0.5,0.5,0.5,0,6.0,6.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-mtsu,8,2019
