,Ln,Dn,Ds,DForm,OForm,Box,WR,RB,TE,Play,Player,Type,Yards,description,YTEZ,YTG,PassDown,Block,RollingAvg5,RollingAvg10,RollingAvg20,RollingAvg40,TypeNum,YardsGained,NetYards,Catch,Success,NetSuccess,3yds,PenaltyYards,FirstDown,BigPlay,BigPlay10+,BigPlay20+,BigPlay30+,BigPlay40+,Game,PlayNum,Year
140,o28,1,10,nickel even,shotgun 3-wide,6,3.0,1.0,1.0,sack,,pass,-12,"
army sends both lbs again and gets through. turner(-2) appears to blow the pickup here as he waits for a beat and then releases into the flat; he missed the lb level coming. hayes has to respect a de potentially coming; he converts to coverage on turner. bredeson picks up the first backer; second one is through clean. meanwhile patterson has bell on a two yard drag in front of his face and absolutely has to get this out. he’s got three seconds and a bunch of short routes. (ta, n/a, protection 0/2). patterson –3.
",28,10,0,,0.4,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,-12.0,-12.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,7,2019
141,m30,1,10,4-3 over,shotgun 3-wide,7,3.0,1.0,1.0,inside zone,charbonnet,run,1,"
gattis and harbaugh both asserted the reads were in so i’m going to grade this like they’re telling the truth. so: patterson(-2) misses a blindingly wide open keep read with the end turning his shoulders to chase and no scrape. m playing 7 v 6 in box now and charbonnet gets got by the crashing end. mayfield(+2) got an excellent sealing reach block; onwenu(+1) crushed a guy on the second level. army stunts on frontside and delivers a de to charbonnet unblocked as left side of line does not figure something is up with the overhang lb with no eligible wr. ruiz(-2) lets the stunting end by.
",70,10,0,,0.6,0.5,0.5,0.5,0,1.0,1.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,8,2019
142,m31,2,9,base 3-4,shotgun 3-wide tight,7.5,2.0,1.0,2.0,out,black,pass,8,"
zone look, step up from lb for no apparent reason with no pa, black pops open for an easy pitch and catch. (ca, 3, protection 1/1)
",69,9,1,,0.4,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,8.0,8.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,9,2019
143,m39,3,1,404 base,shotgun trips tight bunch,8,2.0,1.0,2.0,inside zone,charbonnet,run,3,"
lb drops into line lane; onwenu(+1) picks him up and seals him as ruiz(+0.5) and bredeson(+0.5) crunch the nt. no attempt to get to the mlb but he’s trying to read and react in a gap and charbonnet is going to win the race to the first down marker every time.
",61,1,0,,0.6,0.5,0.5,0.5,0,3.0,3.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,10,2019
144,m42,1,10,nickel even,shotgun trips tight bunch,6.5,3.0,1.0,1.0,pa wheel,bell,pass,inc,"
pa; collins drives off the safety on a post as bell(route+) goes out and then up on a cb, getting a hard bite and breaking open by a good 5 yards. patterson overthrows him by one. (in, 1, protection 2/2, rps +1)
",58,10,0,,0.6,0.5,0.45454545454545453,0.45454545454545453,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,11,2019
145,m42,2,10,4-3 under,shotgun twin te twins,7,2.0,1.0,2.0,inside zone,charbonnet,run,5,"
another astounding missed read from patterson(-2), who gets orbit motion from bell that comes back the other way. de turns shoulders, no scrape coming, m has blockers for both edge defenders and a pitchman. with 7 on 6 in box again m is going to have a tough time. bredeson(+1) is able to shove his guy far enough down the line to allow charbonnet(+1) to run past a de who mckeon can’t do anything with as he slants across. ruiz(+1) and onwenu(+1) fire off the nt, with ruiz getting a second level block. charbonnet is able to run through the de tackle and crunch for a solid gain.
",58,10,1,,0.6,0.5,0.5,0.5,0,5.0,5.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,12,2019
146,m47,3,5,nickel even,shotgun twin te twins,6.5,2.0,1.0,2.0,dumpoff,charbonnet,pass,0,"
patterson has time and should get to find an open downfield receiver but this is another seven man zone he struggled against last year and after a beat he checks down to charbonnet, who has zero chance. i don’t think he even looked at his awesome wrs to the field. (ta, 3, protection 2/2)
",53,5,1,,0.4,0.5,0.46153846153846156,0.46153846153846156,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,13,2019
147,o33,1,10,base 3-4,shotgun twin te,7,2.0,1.0,2.0,te y cross,eubanks,pass,24,"
all day for patterson as it’s seven man protection vs four rushers. m runs flood with the three wrs and patterson hits eubanks in stride for a chunk. (ca, 3, protection 2/2, rps +1; max pro plus zone beater vs zone)
",33,10,0,,0.6,0.5,0.5,0.5,1,24.0,24.0,1.0,1.0,1.0,1,0,0,1,1,1,0,0,2019-offense-vs-army,14,2019
148,o9,1,g,404 base,shotgun twins twin te,7.5,2.0,1.0,2.0,power o,turner,run,3,"
great play by an army lb who’s blitzing at the snap to read the g pull and regap or this is close to a td. bredeson(+1) thunks the nt, moves him. onwenu(+1) is pulling and gets a blitzing lb; he ids the guy and flings him upfield. nice gap but then the other lb shows. eubanks(+0.5) gets him okay but turner has to pick back inside and only gets three. i would not normally issue these grades for a three yard run but army dude just got a +2.
",9,9,0,,0.6,0.6,0.5333333333333333,0.5333333333333333,0,3.0,3.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,15,2019
149,o6,2,g,4-3 under,shotgun twins twin te,8,2.0,1.0,2.0,waggle drag,black,pass,inc,"
black motions in to a wing te spot, drags across formation, lb bites on pa, black open for almost certain td, hit, routine drop. ouch. (ca, 3, protection n/a, rps +1)
",6,6,0,,0.6,0.6,0.5,0.5,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,16,2019
